redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,site_type,nhs_region
alder_hey_children,alder_hey_children,CBS25,alder_hey_children,L14 5AB,England,-2.8960515,53.4182239,E38000101,L14,Liverpool,Acute,North West
manchester_univers,manchester_univers,R0A01,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
manchester_univers,manchester_univers,R0S02,Manchester Royal Infirmary,M13 9WL,England,-2.226157,53.46287,E38000217,M13,Manchester,Acute,North West
wirral_university,wirral_university,RBL17,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
wirral_university,wirral_university,RBLI4,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
aintree_university,aintree_university,REM20,aintree_university,L9 7AL,England,-2.9317603,53.4656706,E38000101,L9,Liverpool,Acute,North West
royal_liverpool__b,NA,REMR0,royal_liverpool__b,CH47 4AL,England,-3.1847842,53.3873785,E38000208,CH47,Wirral,Acute,North West
royal_liverpool__b,royal_liverpool__b,REQRQ,royal_liverpool__b,CH47 4AL,England,-3.1847842,53.3873785,E38000208,CH47,Wirral,NA,North West
wirral_university,wirral_university,RLB14,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
royal_preston_hosp,royal_preston_hosp,RNX02,royal_preston_hosp,PR2 9HT,England,-2.7069534,53.7903928,E38000227,PR2,Preston,Acute,North West
wirral_university,wirral_university,RRL14,wirral_university,CH49 5PE,England,-3.0955279,53.3690502,E38000208,CH49,Wirral,Acute,North West
north_west_borough,north_west_borough,RTV33,north_west_borough,NA,NA,-97.4502182,37.6935462,NA,NA,NA,Community,NA
the_christie_nhsft,the_christie_nhsft,RVB01,the_christie_nhsft,M20 4BX,England,-2.228165,53.4295649,E38000217,M20,Manchester,NA,North West
north_west_borough,north_west_borough,RVT33,north_west_borough,NA,NA,-97.4502182,37.6935462,NA,NA,NA,Community,NA
lancashire__south,lancashire__south,RW5JJ,Royal Preston Hospital,PR2 9HT,England,-2.7040145,53.7908668,E38000227,PR2,Preston,Community,North West
the_pennine_acute,the_pennine_acute,rw602,the_pennine_acute,M8 5RB,England,-2.228676,53.516627,E38000217,M8,Manchester,Acute,North West
warrington_and_hal,warrington_and_hal,RWHHH,warrington_and_hal,NA,NA,-75.1346839,40.2517864,NA,NA,NA,Acute,NA
cheshire_and_wirra,cheshire_and_wirra,RXADT,cheshire_and_wirra,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester,Community,North West
cheshire_and_wirra,cheshire_and_wirra,RXADY,cheshire_and_wirra,CH2 1BQ,England,-2.8998958,53.2120533,E38000196,CH2,Cheshire West and Chester,Community,North West
royal_preston_hosp,royal_preston_hosp,RXB02,royal_preston_hosp,PR2 9HT,England,-2.7069534,53.7903928,E38000227,PR2,Preston,Acute,North West
queen_elizabeth_un,queen_elizabeth_un,G450H,queen_elizabeth_un,NA,NA,NA,NA,NA,NA,NA,Acute,NA
queen_elizabeth_un,queen_elizabeth_un,GN405,queen_elizabeth_un,NA,NA,NA,NA,NA,NA,NA,Acute,NA
nhs_lanarkshire,nhs_lanarkshire,L160H,nhs_lanarkshire,NA,NA,NA,NA,NA,NA,NA,NA,NA
aberdeen_royal_inf,aberdeen_royal_inf,N100H,aberdeen_royal_inf,AB25 2ZN,Scotland,-2.1357159,57.1540996,S08000020,AB25,Aberdeen,Acute,Scotland
nhs_lothian,nhs_lothian,S134H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,S214H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,S341H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,SL116,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh,Acute,Scotland
solent_nhs_trust,solent_nhs_trust,R1CD4,solent_nhs_trust,RG21 3DZ,England,-1.0854306,51.2613127,E38000120,RG21,Hampshire,Community,South East
sussex_community_n,sussex_community_n,RDR05,Brighton General Hospital,BN2 3EW,England,0.1145,50.831,E38000021,BN2,Brighton and Hove,Community,South East
brighton_and_susse,brighton_and_susse,RHX01,Royal Sussex County Hospital,BN2 5BE,England,-0.1182958,50.81935,E38000021,BN2,Brighton and Hove,Acute,South East
dartford_and_grave,dartford_and_grave,RN770,dartford_and_grave,DA1 1SW,England,0.230044,51.4423027,E38000043,DA1,Dartford,Acute,South East
sussex_partnership,sussex_partnership,RX219,sussex_partnership,BN21 2UD,England,0.2712739,50.7869628,E38000055,BN21,Eastbourne,Community,South East
surrey_and_borders,surrey_and_borders,RXX10,surrey_and_borders,RH1 1TA,England,-0.1717138,51.2396572,E38000054,RH1,Reigate and Banstead,Community,South East
kent_and_medway_nh,kent_and_medway_nh,RXY6J,kent_and_medway_nh,ME20 6WT,England,0.4549778,51.3159886,E38000199,ME20,Tonbridge and Malling,Community,South East
medway_community_h,medway_community_h,VLXF4,Medway Community Healthcare,ME1 3QY,England,0.5163534,51.3770708,E38000237,ME1,Medway,Community,South East
aneurin_bevan_univ,aneurin_bevan_univ,11049,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,Wales
aneurin_bevan_univ,aneurin_bevan_univ,11409,aneurin_bevan_univ,NP11 5GH,Wales,-3.1404429,51.66249759999999,W11000028,NP11,Caerphilly,Acute,Wales
betsi_cadwaladr_un,betsi_cadwaladr_un,7AIAU,betsi_cadwaladr_un,NA,NA,NA,NA,NA,NA,NA,Acute,NA
worcestershire_hea,worcestershire_hea,R1A0C,worcestershire_hea,NA,NA,-2.2668382,52.2545225,NA,NA,NA,Community,NA
university_hospitak,university_hospitak,REJ01,Royal Stoke University Hospital,ST4 6QG,England,-2.21294,53.00381,E38000175,ST4,Staffordshire,Acute,Midlands
university_hospitae,university_hospitae,RRK01,university_hospitae,NA,NA,-92.32755139999999,38.9386955,NA,NA,NA,Acute,NA
university_hospitae,university_hospitae,RRK02,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
university_hospitae,university_hospitae,RRK03,university_hospitae,NA,NA,-92.32755139999999,38.9386955,NA,NA,NA,Acute,NA
university_hospitae,university_hospitae,RRL02,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
university_hospitae,NA,RR002,Queen Elizabeth University Hospital Birmingham,B15 2GW,England,-1.9429313,52.4512054,E38000220,B15,Birmingham,Acute,Midlands
george_eliot_hospi,george_eliot_hospi,RTL01,george_eliot_hospi,CV10 7DJ,England,-1.4760659,52.5118749,E38000195,CV10,Nuneaton & Bedworth,Acute,Midlands
birmingham_and_sol,birmingham_and_sol,RXTC1,birmingham_and_sol,NA,NA,-86.8191707,33.4736562,NA,NA,NA,Community,NA
coventry__warwicks,coventry__warwicks,RYGHQ,Caludon Centre,CV2 2TE,England,-1.4452332,52.4225547,E38000038,CV2,Coventry,Community,Midlands
belfast,belfast,RRRR1,Belfast,BT9 7AB,Northern Ireland,-5.9441331,54.5872059,,BT9,Belfast,Acute,Northern Ireland
livewell_southwest,livewell_southwest,NR501,Mount Gould Hospital,PL4 7QD,England,-4.111707,50.3789894,E38000230,PL4,Plymouth,Community,South West
torbay_and_south_d,torbay_and_south_d,RA009,torbay_and_south_d,TQ2 7AA,England,-3.5539082,50.4823211,E38000230,TQ2,Torbay,Acute,South West
weston_area_health,weston_area_health,RA7C2,weston_area_health,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,Acute,South West
weston_area_health,weston_area_health,RA7C7,weston_area_health,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,Acute,South West
poole_hospital_nhs,poole_hospital_nhs,RD300,poole_hospital_nhs,BH15 2JB,England,-1.9737732,50.7213346,E38000045,BH15,Poole,Acute,South West
cornwall_partnersh,cornwall_partnersh,RJ827,cornwall_partnersh,PL31 2QN,England,-4.738597299999999,50.470256,E38000089,PL31,Cornwall,Community,South West
great_western_nhs,great_western_nhs,RM325,great_western_nhs,SN3 6BB,England,-1.7274933,51.5384082,E38000181,SN3,Swindon,Acute,South West
gloucestershire_he,gloucestershire_he,RTQ04,gloucestershire_he,NA,NA,-2.2380335,51.8642112,NA,NA,NA,Community,NA
gloucestershire_he,gloucestershire_he,RTQ21,gloucestershire_he,NA,NA,-2.2380335,51.8642112,NA,NA,NA,Community,NA
gloucestershire_he,gloucestershire_he,RTQ85,gloucestershire_he,NA,NA,-2.2380335,51.8642112,NA,NA,NA,Community,NA
gloucestershire_he,gloucestershire_he,RTQ87,gloucestershire_he,NA,NA,-2.2380335,51.8642112,NA,NA,NA,Community,NA
bronglais_general,bronglais_general,WB2AJ,Bronglais General Hospital,SY23 1ER,Wales,-4.0711821,52.4164121,W11000025,SY23,Ceredigion,Acute,Wales
prince_philip_hosp,prince_philip_hosp,WB3AL,Prince Philip Hospital,SA14 8QF,Wales,-4.134687,51.6922205,W11000025,SA14,Carmarthenshire,Acute,Wales
withybush_general,withybush_general,WF1BL,Withybush General Hospital,SA61 2PZ,Wales,-4.9664014,51.81300479999999,W11000025,SA61,Pembrokeshire,Acute,Wales
nhs_ayrshire_and_a,nhs_ayrshire_and_a,A103H,Ayrshire Central Hospital,KA12 8SS,Scotland,-4.6748227,55.6349014,S08000015,KA12,North Ayrshire,Community,Scotland
nhs_ayrshire_and_a,nhs_ayrshire_and_a,A111H,University Hospital Crosshouse,KA2 0BE,Scotland,-4.540130899999999,55.6135442,S08000015,KA2,East Ayrshire,Acute,Scotland
nhs_ayrshire_and_a,nhs_ayrshire_and_a,A210H,University Hospital Ayr,KA6 6DX,Scotland,-4.5939607,55.428935,S08000015,KA6,East Ayrshire,Acute,Scotland
nhs_ayrshire_and_a,nhs_ayrshire_and_a,A215H,East Ayrshire Community Hospital,KA18 1EF,Scotland,-4.271658,55.4515313,S08000015,KA18,East Ayrshire,Community,Scotland
borders_general_ho,borders_general_ho,B120H,Borders General Hospital,TD6 9BS,Scotland,-2.7419408,55.5954785,S08000016,TD6,Scottish Borders,Acute,Scotland
nhs_highland,nhs_highland,C106H,Cowal Community Hospital,PA23 7RL,Scotland,-4.927129,55.9569856,S08000022,PA23,Argyllshire,Community,Scotland
nhs_highland,nhs_highland,C121H,Lorn & Islands Hospital,PA34 4HH,Scotland,-5.4750995,56.4007089,S08000022,PA34,Argyllshire,Acute,Scotland
nhs_highland,nhs_highland,C122H,Campbeltown Hospital,PA28 6LE,Scotland,-5.606007399999999,55.4209057,S08000022,PA28,Argyllshire,Acute,Scotland
golden_jubilee_nat,golden_jubilee_nat,D102H,Golden Jubilee National Hospital,G81 4DY,Scotland,-4.420353899999999,55.9059298,S08000031,G81,West Dunbartonshire,Acute,Scotland
victoria_hospital,victoria_hospital,F701H,Cameron Hospital,KY8 5RR,Scotland,-3.0606955,56.1866783,S08000029,KY8,Fife,Acute,Scotland
victoria_hospital,victoria_hospital,F704H,Victoria Hospital,KY2 5AH,Scotland,-3.1601871,56.1244623,S08000029,KY2,Fife,Acute,Scotland
victoria_hospital,victoria_hospital,F708H,Adamson Hospital,KY15 4JG,Scotland,-3.0181746,56.3244035,S08000029,KY15,Fife,Acute,Scotland
victoria_hospital,victoria_hospital,F716H,Glenrothes Hospital,KY7 5TG,Scotland,-3.182677,56.2049141,S08000029,KY7,Fife,Acute,Scotland
victoria_hospital,victoria_hospital,F805H,Queen Margaret Hospital,KY12 0SU,Scotland,-3.4275625,56.0824334,S08000029,KY12,Fife,Community,Scotland
queen_elizabeth_un,queen_elizabeth_un,G405H,Queen Elizabeth University Hospital,G51 4TF,Scotland,-4.3392518,55.8626363,S08000031,G51,Glasgow,Acute,Scotland
nhs_highland,nhs_highland,H103H,Caithness General Hospital,KW1 5NS,Scotland,-3.0955804,58.44157999999999,S08000022,KW1,Highland,Acute,Scotland
nhs_highland,nhs_highland,H201H,Rni Community Hospital,IV3 5SF,Scotland,-4.231586399999999,57.47064259999999,S08000022,IV3,Highland,Community,Scotland
nhs_highland,nhs_highland,H202H,Raigmore Hospital,IV2 3UJ,Scotland,-4.1928874,57.4741487,S08000022,IV2,Highland,Acute,Scotland
nhs_lanarkshire,nhs_lanarkshire,L106H,University Hospital Monklands,ML6 0JS,Scotland,-3.9998893,55.8657665,S08000032,ML6,North Lanarkshire,Acute,Scotland
nhs_lanarkshire,nhs_lanarkshire,L302H,University Hospital Hairmyres,G75 8RG,Scotland,-4.221977,55.7594711,S08000032,G75,South Lanarkshire,Acute,Scotland
nhs_lanarkshire,nhs_lanarkshire,L308H,University Hospital Wishaw,ML2 0DP,Scotland,-3.942015899999999,55.7736351,S08000032,ML2,North Lanarkshire,Acute,Scotland
aberdeen_royal_inf,aberdeen_royal_inf,N101H,Aberdeen Royal Infirmary,AB25 2ZN,Scotland,-2.1372687,57.1546973,S08000020,AB25,Aberdeen,Acute,Scotland
nhs_lothian,nhs_lothian,S116H,Western General Hospital,EH4 2XU,Scotland,-3.2338808,55.9621052,S08000024,EH4,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,S225H,Royal Hospital For Sick Children (Edinburgh),EH9 1LF,Scotland,-3.1888575,55.93845779999999,S08000024,EH9,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,S308H,St John's Hospital,EH54 6PP,Scotland,-3.5235687,55.8914559,S08000024,EH54,West Lothian,Acute,Scotland
nhs_lothian,nhs_lothian,S313H,Ellen's Glen House,EH16 6FF,Scotland,-3.1501074,55.90922699999999,S08000024,EH16,Edinburgh,Acute,Scotland
nhs_lothian,nhs_lothian,S314H,Royal Infirmary Of Edinburgh At Little France,EH16 4SA,Scotland,-3.1347719,55.9218084,S08000024,EH16,Edinburgh,Acute,Scotland
ninewells_hospital,ninewells_hospital,T101H,Ninewells Hospital,DD1 9SY,Scotland,-2.9913622,56.461653,S08000030,DD1,Dundee,Acute,Scotland
nhs_forth_valley,nhs_forth_valley,V217H,Forth Valley Royal Hospital,FK5 4WR,Scotland,-3.850585199999999,56.0256532,S08000019,FK5,Falkirk,Acute,Scotland
nhs_dumfries_and_g,nhs_dumfries_and_g,Y146H,Dumfries & Galloway Royal Infirmary,DG2 8RX,Scotland,-3.6589031,55.0587825,S08000017,DG2,Dumfriesshire,Acute,Scotland
glan_clwyd_hospita,glan_clwyd_hospita,7A1A1,Ysbyty Glan Clwyd,LL18 5UJ,Wales,-3.4971896,53.27265509999999,W11000023,LL18,Conwy,Acute,Wales
