redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city
Royal Devon and Exeter Hospital,royal_devon_and_ex,RH801,Royal Devon And Exeter Hospital (Wonford),EX2 5DW,England,-3.5066664218902588,50.716709136962891,E38000230,EX2,Exeter
University Hospital Southampton NHS Foundation Trust,queen_elizabeth_un,RHM01,Southampton General Hospital,SO16 6YD,England,-1.4350899457931519,50.933021545410156,E38000167,SO16,Southampton
Sheffield Teaching Hospitals NHS Foundation Trust,sheffield_teaching,RHQHH,Royal Hallamshire Hospital,S10 2JF,England,-1.4933162927627563,53.37835693359375,E38000146,S10,Sheffield
Portsmouth Hospitals NHS Trust,portsmouth_hospita,RHU03,Queen Alexandra Hospital,PO6 3LY,England,-1.0699176788330078,50.850299835205078,E38000137,PO6,Hampshire
Royal Berkshire Hospital,royal_berkshire_ho,RHW01,Royal Berkshire Hospital,RG1 5AN,England,-0.95931577682495117,51.451023101806641,E38000221,RG1,Berkshire
Guys and St Thomas,guys_and_st_thomas,RJ122,St Thomas',SE1 7EH,England,-0.11889063566923141,51.497959136962891,E38000092,SE1,Southwark
Lewisham and Greenwich NHS Trust,lewisham_and_green,RJ224,University Hospital Lewisham,SE13 6LH,England,-0.01703643798828125,51.454330444335938,E38000098,SE13,Lewisham
Lewisham and Greenwich NHS Trust,lewisham_and_green,RJ231,Queen Elizabeth Hospital,SE18 4QH,England,5.0057109445333481E-2,51.478191375732422,E38000066,SE18,Greenwich
Croydon Health Services NHS Trust,croydon_health_ser,RJ611,Croydon University Hospital,CR7 7YE,England,-0.10876881331205368,51.389129638671875,E38000040,CR7,Croydon
Warwick Hospital,warwick_hospital,RJC02,Warwick Hospital,CV34 5BW,England,-1.5832006931304932,52.289951324462891,E38000164,CV34,Warwick
University Hospitals of North Midlands NHST,university_hospital,RJE01,Royal Stoke University Hospital,ST4 6QG,England,-2.2120518684387207,53.003158569335938,E38000175,ST4,Staffordshire
University Hospitals of North Midlands NHST,university_hospital,RJE09,County Hospital,ST16 3SA,England,-2.0977704524993896,52.811294555664063,E38000173,ST16,Staffordshire
Northern Lincolnshire and Goole NHSFT,northern_lincolnsh,RJL30,Diana,NA,England,53.544857025146484,DN33 2BA,NA,NA,NA
Northern Lincolnshire and Goole NHSFT,northern_lincolnsh,RJL32,Scunthorpe General Hospital,DN15 7BH,England,-0.66758406162261963,53.58758544921875,E38000122,DN15,North Lincolnshire
Macclesfield District General Hospital,macclesfield_distr,RJN71,Macclesfield District General Hospital,SK10 3BL,England,-2.1410596370697021,53.262325286865234,E38000056,SK10,Cheshire East
Countess Of Chester Hospital,countess_of_cheste,RJR05,Countess Of Chester Hospital,CH2 1HJ,England,-2.8990099430084229,53.211772918701172,E38000196,CH2,Cheshire West and Chester
King's College Hospital,kings_college_hosp,RJZ01,King's College Hospital,SE5 9RS,England,-9.3901388347148895E-2,51.46807861328125,E38000092,SE5,Lambeth
Sherwood Forest Hospitals NHSFT,sherwood_forest_ho,RK5BC,King's Mill Hospital,NG17 4JL,England,-1.2335661649703979,53.134555816650391,E38000103,NG17,Ashfield
University Hospital Plymouth,university_hospitad,RK950,Derriford Hospital,PL6 8DH,England,-4.1136713027954102,50.416728973388672,E38000230,PL6,Plymouth
University Hospitals Coventry and Warwickshire,university_hospitah,RKB01,University Hospital (Coventry),CV2 2DX,England,-1.4383885860443115,52.421215057373047,E38000038,CV2,Coventry
Whittington Health NHST,whittington_health,RKEQ4,The Whittington Hospital,N19 5NF,England,-0.13862308859825134,51.566310882568359,E38000088,N19,Islington
The Royal Wolverhampton NHS Trust,the_royal_wolverha,RL403,New Cross Hospital,WV10 0QP,England,-2.0955405235290527,52.599727630615234,E38000210,WV10,Wolverhampton
Robert Jones,robert_jones,RL131,The Robert Jones And Agnes Hunt Orthopaedic Hospital,SY10 7AG,England,-3.0331149101257324,52.884529113769531,E38000147,SY10,Shropshire
Hereford Hospital,hereford_hospital,RLQ01,The County Hospital,HEREFORDSHIRE,England,52.058734893798828,HR1 2BN,NA,HEREFORDSHIRE,NA
George Eliot Hospital,george_eliot_hospi,RLT01,George Eliot Hospital,CV10 7DJ,England,-1.4784245491027832,52.512584686279297,E38000195,CV10,Nuneaton & Bedworth
Norfolk and Norwich University Hospital NHSFT,norfolk_and_norwic,RM102,Norfolk And Norwich University Hospital,NR4 7UY,England,1.2210814952850342,52.618083953857422,E38000219,NR4,Norfolk
Salford Royal NHSFT,salford_royal_nhsf,RM301,Salford Royal,M6 8HD,England,-2.3234095573425293,53.487548828125,E38000143,M6,Salford
Bolton NHST,bolton_nhst,RMC01,Royal Bolton Hospital,BL4 0JR,England,-2.4298787117004395,53.553962707519531,E38000016,BL4,Bolton
Tameside Hospital Integrated Care NHSFT,tameside_hospital,RMP01,Tameside & Glossop Integrated Care Nhs Foundation Trust,OL6 9RW,England,-2.0714185237884521,53.491535186767578,E38000182,OL6,Tameside
Norfolk and Suffolk NHS Foundation Trust,norfolk_and_suffol,RMY01,Wellbeing Norfolk & Waveney,NR6 5BE,England,1.2508863210678101,52.659530639648437,E38000218,NR6,Norfolk
Great Western NHS FT,great_western_nhs,RN325,The Great Western Hospital,SN3 6BB,England,-1.727185845375061,51.538532257080078,E38000181,SN3,Swindon
Royal Hampshire County Hospital,royal_hampshire_co,RN506,Basingstoke And North Hampshire Hospital,RG24 9NA,England,-1.1099036931991577,51.280635833740234,E38000120,RG24,Hampshire
Royal Hampshire County Hospital,royal_hampshire_co,RN541,Royal Hampshire County Hospital,SO22 5DG,England,-1.3291560411453247,51.061710357666016,E38000198,SO22,Winchester
Dartford and Gravesham NHS Trust,dartford_and_grave,RN707,Darent Valley Hospital,DA2 8DA,England,0.2586592435836792,51.434951782226563,E38000043,DA2,Dartford
The Dudley Group NHSFT,the_dudley_group_n,RNA01,Russells Hall Hospital,DY1 2HQ,England,-2.1185030937194824,52.502948760986328,E38000046,DY1,Dudley
North Cumbria Integrated Care NHSFT,north_cumbria_inte,RNNCB,Cockermouth Community Hospital,CA13 9HT,England,-3.3585805892944336,54.666812896728516,E38000215,CA13,Allerdale
Kettering General Hospital NHSFT,kettering_general,RNQ51,Kettering General Hospital,NN16 8UZ,England,-0.74152910709381104,52.401145935058594,E38000108,NN16,Kettering
Northampton General Hospital NHS Trust,northampton_genera,RNS01,Northampton General Hospital (Acute),NN1 5BD,England,-0.88382947444915771,52.236053466796875,E38000108,NN1,Northampton
Doncaster and Bassetlaw Teaching Hospitals NHFT,doncaster_and_bass,RP5BA,Bassetlaw Hospital,S81 0BD,England,-1.1098852157592773,53.317676544189453,E38000008,S81,Bassetlaw
Doncaster and Bassetlaw Teaching Hospitals NHFT,doncaster_and_bass,RP5DR,Doncaster Royal Infirmary,DN2 5LT,England,-1.1092113256454468,53.530754089355469,E38000044,DN2,Doncaster
Great Ormond Street Hospital,great_ormond_stree,RP401,Great Ormond Street Hospital,WC1N 3JH,England,-0.11990952491760254,51.522209167480469,E38000027,WC1N,Camden
Medway NHSFT,medway_nhsft,RPA02,Medway Maritime Hospital,ME7 5NY,England,0.54207605123519897,51.379859924316406,E38000104,ME7,Medway
The Royal Marsden NHST,the_royal_marsden,RPY01,The Royal Marsden Hospital (London),SW3 6JJ,England,-0.17255078256130219,51.490562438964844,E38000202,SW3,Kensington and Chelsea
The Royal Marsden NHST,the_royal_marsden,RPY02,The Royal Marsden Hospital (Surrey),SM2 5PT,England,-0.19110026955604553,51.343479156494141,E38000179,SM2,Sutton
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RQ8L0,Broomfield Hospital,CM1 7ET,England,0.46673330664634705,51.774612426757812,E38000106,CM1,Chelmsford
Birmingham Women's & Children's NHS Foundation Trust,birmingham_womens,RQ301,Birmingham Children's Hospital,B4 6NH,England,-1.8937397003173828,52.484897613525391,E38000220,B4,Birmingham
Chelsea & Westminster Hospital,chelsea__westminst,RQM01,Chelsea And Westminster Hospital,SW10 9NH,England,-0.18162970244884491,51.484310150146484,E38000202,SW10,Kensington and Chelsea
The Princess Alexandra Hospital,the_princess_alexa,RQWG0,Princess Alexandra Hospital,CM20 1QX,England,8.5471294820308685E-2,51.771530151367188,E38000197,CM20,Harlow
Homerton University Hospital,homerton_universit,RQXM1,Homerton University Hospital,E9 6SR,England,-4.6084355562925339E-2,51.550632476806641,E38000035,E9,Hackney
Gateshead Health NHSFT,gateshead_health_n,RR7EN,Queen Elizabeth Hospital,NE9 6SX,England,-1.5807654857635498,54.939384460449219,E38000212,NE9,Gateshead
The Leeds Teaching Hospitals NHST,the_leeds_teaching,RR801,Leeds General Infirmary,LS1 3EX,England,-1.552119255065918,53.801460266113281,E38000225,LS1,Leeds
The Leeds Teaching Hospitals NHST,the_leeds_teaching,RR813,St James's Hospital,LS9 7TF,England,-1.5203437805175781,53.806873321533203,E38000225,LS9,Leeds
Royal Albert Edward Infirmary,royal_albert_edwar,RRF02,Royal Albert Edward Infirmary,WN1 2NN,England,-2.6290764808654785,53.557743072509766,E38000205,WN1,Wigan
Cambridge and Peterborough NHS Foundation Trust,cambridge_and_pete,RT113,Fulbourn Hospital,CB21 5EF,England,0.18831537663936615,52.184490203857422,E38000026,CB21,Cambridge
Royal Brompton and Harefield NHFT,royal_brompton_and,RT301,Harefield Hospital,UB9 6JH,England,-0.4827539324760437,51.606731414794922,E38000082,UB9,South Buckinghamshire
Royal Brompton and Harefield NHFT,royal_brompton_and,RT302,Royal Brompton Hospital,SW3 6NP,England,-0.1708405464887619,51.489742279052734,E38000202,SW3,Kensington and Chelsea
The Newcastle upon Tyne Hospitals NHSFT,the_newcastle_upon,RTD02,The Royal Victoria Infirmary,NE1 4LP,England,-1.6188395023345947,54.980216979980469,E38000212,NE1,Newcastle
Gloucester Royal Hospital,gloucester_royal_h,RTE03,Gloucestershire Royal Hospital,GL1 3NN,England,-2.2320585250854492,51.866382598876953,E38000062,GL1,Gloucester
Northumbria Healthcare NHS Trust,northumbria_health,RTF86,Northumbria Specialist Emergency Care Hospital,NE23 6NZ,England,-1.5696691274642944,55.074069976806641,E38000130,NE23,Northumberland
Northumbria Healthcare NHS Trust,northumbria_health,RTFED,Wansbeck General Hospital,NE63 9JJ,England,-1.5465863943099976,55.184310913085938,E38000130,NE63,Northumberland
Northumbria Healthcare NHS Trust,northumbria_health,RTFFS,North Tyneside General Hospital,NE29 8NH,England,-1.4673244953155518,55.025241851806641,E38000127,NE29,North Tyneside
University Hospitals of Derby and Burton NHFT,university_hospitai,RTG02,Burton Hospital,DE13 0RB,England,-1.6563690900802612,52.817779541015625,E38000053,DE13,East Staffordshire
Oxford University Hospitals NHSFT,oxford_university,RTH08,John Radcliffe Hospital,OX3 9DU,England,-1.2197920083999634,51.763874053955078,E38000136,OX3,Oxford
Ashford and St Peters Hospital NHSFT,ashford_and_st_pet,RTK01,St Peter's Hospital,KT16 0PZ,England,-0.52704602479934692,51.377834320068359,E38000128,KT16,Runnymede
Surrey and Sussex Healthcare NHST,surrey_and_sussex,RTP04,East Surrey Hospital,RH1 5RH,England,-0.16199502348899841,51.219192504882812,E38000054,RH1,Reigate and Banstead
Gloucestershire Health and Care NHS Foundation Trust,gloucestershire_he,RTQ01,Charlton Lane Hospital,NA,England,51.881053924560547,GL53 9DZ,NA,NA,NA
South Tees Hospital NHS Foundation Trust,south_tees_hospita,RTRAT,The James Cook University Hospital,TS4 3BW,England,-1.2147899866104126,54.5517578125,E38000162,TS4,Middlesbrough
University Hospitals Of Morecambe Bay,university_hospitak,RTX02,Royal Lancaster Infirmary,LA1 4RP,England,-2.7992172241210937,54.042732238769531,E38000228,LA1,Lancaster
University Hospitals Of Morecambe Bay,university_hospitak,RTXBU,Furness General Hospital,LA14 4LF,England,-3.2078845500946045,54.136402130126953,E38000228,LA14,Barrow-in-Furness
University Hospitals Of Morecambe Bay,university_hospitak,RTXBW,Westmorland General Hospital,LA9 7RG,England,-2.732536792755127,54.306709289550781,E38000228,LA9,South Lakeland
Southmead Hospital,southmead_hospital,RVJ01,Southmead Hospital,BS10 5NB,England,-2.5910003185272217,51.49481201171875,E38000222,BS10,Bristol
Epsom & St Helier NHSFT,epsom__st_helier_n,RVR05,St Helier Hospital,SM5 1AA,England,-0.18362735211849213,51.380313873291016,E38000179,SM5,Sutton
East Kent Hospitals NHSFT,east_kent_hospital,RVV01,William Harvey Hospital (Ashford),TN24 0LZ,England,0.91622304916381836,51.141487121582031,E38000002,TN24,Ashford
East Kent Hospitals NHSFT,east_kent_hospital,RVV09,Queen Elizabeth The Queen Mother Hospital,CT9 4AN,England,1.3893986940383911,51.3780517578125,E38000184,CT9,Kent
East Kent Hospitals NHSFT,east_kent_hospital,RVVKC,Kent And Canterbury Hospital,CT1 3NG,England,1.0870975255966187,51.266586303710937,E38000029,CT1,Kent
University Hospital of North Tees,university_hospitab,RVWAE,University Hospital Of North Tees,TS19 8PE,England,-1.3475654125213623,54.582859039306641,E38000075,TS19,Stockton-on-Tees
Southport and Ormskirk Hospital NHS Trust,southport_and_orms,RVY01,Southport And Formby District General Hospital,PR8 6PN,England,-2.9788076877593994,53.633560180664063,E38000170,PR8,Sefton
Southern Health NHS Foundation Trust,southern_health_nh,RW154,Moorgreen Hospital,SO30 3JB,England,-1.3233729600906372,50.92864990234375,E38000198,SO30,Eastleigh
Merseycare NHS Foundation Trust,merseycare_nhs_fou,RW404,Ashworth Hospital,L31 1HW,England,-2.9153599739074707,53.518672943115234,E38000161,L31,Sefton
Fairfield General Hospital,fairfield_general,RW601,Fairfield General Hospital,BL9 7TD,England,-2.2556078433990479,53.600425720214844,E38000024,BL9,Bury
The Royal Oldham Hospital,the_royal_oldham_h,RW603,Royal Oldham Hospital,OL1 2JH,England,-2.1218161582946777,53.553253173828125,E38000135,OL1,Oldham
Hull University Teaching Hospitals,hull_university_te,RWA01,Hull Royal Infirmary,HU3 2JZ,England,-0.35816898941993713,53.744434356689453,E38000085,HU3,Kingston upon Hull
Hull University Teaching Hospitals,hull_university_te,RWA16,Castle Hill Hospital,HU16 5JQ,England,-0.44496947526931763,53.7767333984375,E38000052,HU16,East Riding of Yorkshire
United Lincolnshire Hospital NHST,united_lincolnshir,RWDDA,Lincoln County Hospital,LN2 5QY,England,-0.51962018013000488,53.233577728271484,E38000100,LN2,West Lindsey
United Lincolnshire Hospital NHST,united_lincolnshir,RWDLA,Pilgrim Hospital,PE21 9QS,England,-9.9528534337878227E-3,52.991127014160156,E38000099,PE21,Boston
United Lincolnshire Hospital NHST,united_lincolnshir,RWDLP,Grantham And District Hospital,NG31 8DG,England,-0.64069914817810059,52.921089172363281,E38000165,NG31,South Kesteven
University Hospitals of Leicester,university_hospitaj,RWEAA,Leicester Royal Infirmary,LE1 5WW,England,-1.1359461545944214,52.626785278320313,E38000097,LE1,Leicester
Maidstone and Tunbridge Wells NHST,maidstone_and_tunb,RWF03,Maidstone Hospital,ME16 9QQ,England,0.48398822546005249,51.273662567138672,E38000199,ME16,Maidstone
Maidstone and Tunbridge Wells NHST,maidstone_and_tunb,RWFTW,Tunbridge Wells Hospital At Pembury,TN2 4QJ,England,0.30748459696769714,51.148452758789063,E38000199,TN2,Tunbridge Wells
West Hertfordshire Hospitals NHST,west_hertfordshire,RWG02,Watford General Hospital,WD18 0HB,England,-0.40527793765068054,51.648590087890625,E38000079,WD18,Watford
East and North Hertfordshire NHST,east_and_north_her,RWH01,Lister Hospital,SG1 4AB,England,-0.21271154284477234,51.924610137939453,E38000049,SG1,Stevenage
Stockport NHSFT,stockport_nhsft,RWJ09,Stepping Hill Hospital,SK2 7JE,England,-2.132004976272583,53.383781433105469,E38000174,SK2,Stockport
Worcestershire Acute Hospitals NHS Trust,worcestershire_acu,RWP50,Worcestershire Royal Hospital,WR5 1DD,England,-2.1793410778045654,52.191516876220703,E38000166,WR5,Worcester
Devon Partnership NHS Trust,devon_partnership,RWV62,Wonford House,EX2 5AF,England,-3.5062844753265381,50.715400695800781,E38000230,EX2,Exeter
Warrington and Halton Teaching Hospitals NHS Foundation Trust,warrington_and_hal,RWWWH,Warrington Hospital,WA5 1QG,England,-2.6107027530670166,53.393978118896484,E38000194,WA5,Warrington
Calderdale and Huddersfield NHS Trust,calderdale_and_hud,RWY01,Huddersfield Royal Infirmary,HD3 3EA,England,-1.8163231611251831,53.655475616455078,E38000064,HD3,Kirklees
NUH Nottingham University Hosptial,nuh_nottingham_uni,RX1CC,Nottingham University Hospitals Nhs Trust - City Campus,NG5 1PB,England,-1.1584131717681885,52.991237640380859,E38000132,NG5,Nottingham
NUH Nottingham University Hosptial,nuh_nottingham_uni,RX1RA,Nottingham University Hospitals Nhs Trust - Queen's Medical Centre Campus,NG7 2UH,England,-1.1859418153762817,52.943801879882813,E38000132,NG7,Nottingham
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",cumbria_northumber,RX4E4,St Nicholas Hospital,NE3 3XT,England,-1.6330841779708862,55.006488800048828,E38000212,NE3,Newcastle
"Tees, Esk and Wear Valleys NHS Foundation Trust",tees_esk_and_wear,RX301,Tees,DARLINGTON,England,DL2 2TS,NA,NA,DARLINGTON,NA
East Sussex Healthcare NHS Trust,east_sussex_health,RXC01,Conquest Hospital,TN37 7RD,England,0.56728416681289673,50.885166168212891,E38000076,TN37,Hastings
East Sussex Healthcare NHS Trust,east_sussex_health,RXC02,Eastbourne District General Hospital,BN21 2UD,England,0.27112165093421936,50.786968231201172,E38000055,BN21,Eastbourne
Mid Yorkshire Hospitals NHST,mid_yorkshire_hosp,RXF05,Pinderfields Hospital,WF1 4DG,England,-1.4885402917861938,53.692420959472656,E38000190,WF1,Wakefield
Brighton and Sussex University Hospitals NHST,brighton_and_susse,RXH01,Royal Sussex County Hospital,BN2 5BE,England,-0.11816248297691345,50.819469451904297,E38000021,BN2,Brighton and Hove
Brighton and Sussex University Hospitals NHST,brighton_and_susse,RXH09,Princess Royal Hospital,RH16 4EX,England,-0.09026799350976944,50.991096496582031,E38000083,RH16,Mid Sussex
Sandwell and West Birmingham NHST,sandwell_and_west,RXK01,Sandwell District General Hospital,B71 4HJ,England,-1.9888573884963989,52.528079986572266,E38000144,B71,Sandwell
Sandwell and West Birmingham NHST,sandwell_and_west,RXK02,City Hospital,B18 7QH,England,-1.9324921369552612,52.488632202148437,E38000144,B18,Birmingham
Blackpool Teaching Hospitals NHSFT,blackpool_teaching,RXL01,Blackpool Victoria Hospital,FY3 8NR,England,-3.0158531665802002,53.820606231689453,E38000015,FY3,Blackpool
Royal Preston Hospital,royal_preston_hosp,RXN02,Royal Preston Hospital,PR2 9HT,England,-2.7068295478820801,53.791511535644531,E38000227,PR2,Preston
University Hospital of North Durham,university_hospita,RXPCP,University Hospital Of North Durham,DH1 5TW,England,-1.5938187837600708,54.788501739501953,E38000116,DH1,County Durham
Darlington Memorial Hospital,darlington_memoria,RXPDA,Darlington Memorial Hospital,DL3 6HX,England,-1.5637173652648926,54.530376434326172,E38000042,DL3,Darlington
Buckinghamshire Healthcare NHS Trust,buckinghamshire_he,RXQ02,Stoke Mandeville Hospital,HP21 8AL,England,-0.80199754238128662,51.797977447509766,E38000223,HP21,Aylesbury Vale
Buckinghamshire Healthcare NHS Trust,buckinghamshire_he,RXQ50,Wycombe Hospital,HP11 2TT,England,-0.75341349840164185,51.626441955566406,E38000223,HP11,Wycombe
East Lancashire Hospitals NHST,east_lancashire_ho,RXR20,Royal Blackburn Hospital,BB2 3HH,England,-2.4627013206481934,53.735565185546875,E38000014,BB2,Blackburn with Darwen
The Royal Shrewsbury Hospital,the_royal_shrewsbu,RXWAS,Royal Shrewsbury Hospital,SY3 8XQ,England,-2.7937374114990234,52.709362030029297,E38000147,SY3,Shropshire
Imperial College Healthcare NHST,imperial_college_h,RYJ01,St Mary's Hospital (Hq),W2 1NY,England,-0.17355506122112274,51.516971588134766,E38000202,W2,Westminster
Imperial College Healthcare NHST,imperial_college_h,RYJ02,Charing Cross Hospital,W6 8RF,England,-0.21992097795009613,51.487045288085938,E38000070,W6,Hammersmith and Fulham
Imperial College Healthcare NHST,imperial_college_h,RYJ03,Hammersmith Hospital,W12 0HS,England,-0.2347068190574646,51.517421722412109,E38000070,W12,Hammersmith and Fulham
Western Sussex Hospitals NHSFT,western_sussex_hos,RYR16,St Richard's Hospital,PO19 6SE,England,-0.76801276206970215,50.843555450439453,E38000213,PO19,Sussex
Western Sussex Hospitals NHSFT,western_sussex_hos,RYR18,Worthing Hospital,BN11 2DH,England,-0.36341506242752075,50.816692352294922,E38000213,BN11,Worthing
Birmingham Community Healthcare NHS Foundation Trust,birmingham_communi,RYW23,Moseley Hall Hospital,B13 8JL,England,-1.8928769826889038,52.445926666259766,E38000220,B13,Birmingham
Sheffield Health,sheffield_health,TAHFC,Michael Carlisle Centre,S11 9BF,England,-1.4975893497467041,53.361412048339844,E38000146,S11,Sheffield
Sheffield Health,sheffield_health,TAHXP,Grenoside Grange,S35 8QS,England,-1.4955019950866699,53.436370849609375,E38000146,S35,Sheffield
