redcap_data_access_group,redcap_data_access_group_unlabelled,dag_id,place_name,postcode,country,lon,lat,ccg,postcode_start,city,imd_average_postcodes_new,tds_mean,w_me_imd,w_me_tds,w_har_tds,w_har_imd,w_med_imd,w_med_tds,prop_within_10_imd_ccg,prop_within_20_imd_ccg,prop_within_10_tds_ccg,prop_within_20_tds_ccg
King's College Hospital,kings_college_hosp,R1Z01,King's College Hospital,SE5 9RS,England,-0.0938548,51.4681404,E38000092,SE5,Lambeth,11381.474012474013,4.4785908912453225,11361.000684949637,4.503651209391457,19.980316006199185,9144.437717361785,10802,4.576766608181818,0,0.19188516670416794,0.47588778738104376,0.7304144110756687
Torbay and south Devon Hospital,torbay_and_south_d,RA009,Torbay and south Devon Hospital,TQ2 7TD,England,-3.552757,50.4877399,E38000230,TQ2,Torbay,16386.417871222075,-1.0334518857634691,16537.218276292137,-1.0478824945579135,-91.88915519735362,7836.803464365692,16438,-1.6447812480388693,0.062447188160974894,0.1259184188289752,0.025121235695599174,0.07773461687050492
Weston Area Health NHS Trust,weston_area_health,RA7C2,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,17993.102167182664,-0.684643764366013,18105.60921788741,-0.7114389377372609,-0.4942704656254714,5252.038422497793,19488,-1.3257992787135597,0.0865116997382401,0.1715752707967058,0.049838456433597036,0.11578314776619995
Weston Area Health NHS Trust,weston_area_health,RA7C7,Weston Area Health NHS Trust,BS23 4TQ,England,-2.9725926,51.32237,E38000222,BS23,North Somerset,17993.102167182664,-0.684643764366013,18105.60921788741,-0.7114389377372609,-0.4942704656254714,5252.038422497793,19488,-1.3257992787135597,0.0865116997382401,0.1715752707967058,0.049838456433597036,0.11578314776619995
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAJ02,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,SS1,Southend-on-Sea,16179.379130434783,0.16197812731478262,16094.12554561264,0.17873667742303265,-13.715294008947904,4603.912264359559,14508,-0.28081839053846325,0.08881825196650889,0.22726853931290236,0.06847942507687524,0.1809879187828951
Mid and South Essex University Hospitals Group,mid_and_south_esseb,RAT01,Mid and South Essex University Hospitals Group,SS1 1ND,England,0.7115468,51.5377565,E38000168,SS1,Southend-on-Sea,16179.379130434783,0.16197812731478262,16094.12554561264,0.17873667742303265,-13.715294008947904,4603.912264359559,14508,-0.28081839053846325,0.08881825196650889,0.22726853931290236,0.06847942507687524,0.1809879187828951
Shrewsbury & Telford Hospital NHS Trust,shrewsbury__telfor,RAWAS,Royal Shrewsbury Hospital,SY3 8XQ,England,-2.79373741149902,52.7093620300293,E38000147,SY3,Shropshire,17857.037601626016,-1.5350261804695122,17964.94175004655,-1.5920025938892461,3.995820551252773,14380.039737916568,17031,-2.216224139119048,0.009068072609912815,0.04630400909420539,0.012831192079156173,0.04348493608903436
Bedford Hospital NHS Trust,bedford_hospital_n,RC112,Bedford Hospital NHS Trust,MK42 9DJ,England,-0.4732078,52.1287579,E38000010,MK42,Bedford,20795.862654320987,-1.1446525200694444,20936.333115621812,-1.1854380158105158,-2.423611296224036,14814.88597025713,22139,-1.9748539083333334,0.015565969018598552,0.06694507842470743,0.03308405768950614,0.0871922497936192
East Sussex Healthcare NHS Trust,east_sussex_health,RCX01,East Sussex Healthcare NHS Trust,TN37 7PT,England,0.5681561,50.8849912,E38000076,TN37,Hastings,12395.120192307691,-0.12981121058653847,12671.692637772197,-0.24285432992226363,-23.721270380006718,3205.755206032366,12483,-0.6974697461987579,0.16501697614492208,0.2656407250528085,0.04863914356178321,0.15655655212837727
Royal United Hospitals Bath NHSFT,royal_united_hospi,RD120,Royal United Hospitals Bath NHSFT,BA1 3NG,England,-2.3907418,51.3918072,E38000009,BA1,Bath and North East Somerset,23278.48027444254,-1.1768844065951973,23595.764072584312,-1.3040501190068403,2.3118384692132437,18189.693327117755,25490,-1.9125486523216784,0.007862921552586128,0.0400588582856104,0.012175029542768839,0.06267612035269521
Poole Hospital NHS Trust,poole_hospital_nhs,RD300,Poole Hospital NHS Trust,BH15 2JB,England,-1.9737912,50.7213497,E38000045,BH15,Poole,18839.683914961894,-1.2466983944829522,18849.8600157787,-1.2351436318802471,17.74191765813415,12246.112506905683,18877,-1.6938707970882352,0.030894802840166068,0.08128718713081672,0.016507154847649523,0.058352967107995396
Basildon and Thurrock University Hospitals NHS,basildon_and_thurr,RDHH0,Basildon and Thurrock University Hospitals NHS,SS16 5NL,England,0.4514304,51.5582929,E38000007,SS16,Basildon,18128.080100125157,-0.7236037154042553,18134.089815314917,-0.7613690631848504,5.422633461693532,9633.651347577026,18665,-1.25702295316955,0.07635289280848696,0.16526130803150368,0.03490959217728478,0.09543406234633088
Sussex Community NHSFT,sussex_community_n,RDR05,Brighton General Hospital,BN2 3EW,England,0.1145,50.831,E38000021,BN2,Brighton and Hove,16395.91576673866,1.0514530423833692,16604.96889918023,0.8943553479447524,0.8816170324328322,6505.816628575543,17451,0.7662815757083322,0.08439874309084058,0.17257260333102875,0.11286210214033048,0.2309113323017606
